subscale,id,score_before,score_during,total_hours_played_before,total_hours_played_during,hours_diff,score_diff,score_before_ord,score_during_ord
loneliness,1,5,7,10,35,25,2,5,7
loneliness,2,6,3,10,35,25,-3,6,3
loneliness,3,8,8,0,15,15,0,8,8
loneliness,4,6,6,0,0,0,0,6,6
loneliness,5,4,5,22,30,8,1,4,5
loneliness,6,3,3,22,30,8,0,3,3
loneliness,7,5,5,0,0,0,0,5,5
loneliness,8,4,3,15,15,0,-1,4,3
loneliness,9,4,3,20,80,60,-1,4,3
loneliness,10,5,5,25,35,10,0,5,5
loneliness,11,4,5,30,0,-30,1,4,5
loneliness,12,3,4,8,4,-4,1,3,4
loneliness,13,7,7,10,35,25,0,7,7
loneliness,14,6,6,0,0,0,0,6,6
loneliness,15,6,7,0,15,15,1,6,7
loneliness,16,3,5,75,60,-15,2,3,5
loneliness,17,7,5,0,24,24,-2,7,5
loneliness,18,8,9,31,40,9,1,8,9
loneliness,19,3,3,40,64,24,0,3,3
loneliness,20,5,4,15,41,26,-1,5,4
loneliness,21,4,7,15,35,20,3,4,7
loneliness,22,5,6,0,30,30,1,5,6
loneliness,23,3,3,14.000000000000002,28.999999999999996,14.999999999999995,0,3,3
loneliness,24,3,3,0,0,0,0,3,3
loneliness,25,3,3,15,45,30,0,3,3
loneliness,26,7,6,35,15.75,-19.25,-1,7,6
loneliness,27,5,9,0,0,0,4,5,9
loneliness,28,5,6,12,40,28,1,5,6
loneliness,29,6,6,35,35,0,0,6,6
loneliness,30,4,6,20,40,20,2,4,6
loneliness,31,5,7,6,18,12,2,5,7
loneliness,32,6,7,30,30,0,1,6,7
loneliness,33,3,4,10,10,0,1,3,4
loneliness,34,4,6,30,70,40,2,4,6
loneliness,35,3,3,0,21,21,0,3,3
loneliness,36,3,4,15,9,-6,1,3,4
loneliness,37,6,7,0,32,32,1,6,7
loneliness,38,4,5,25,45,20,1,4,5
loneliness,39,3,3,0,0,0,0,3,3
loneliness,40,3,5,43.2,56.24,13.04,2,3,5
loneliness,41,8,8,4,7.000000000000001,3.000000000000001,0,8,8
loneliness,42,7,8,5,8,3,1,7,8
loneliness,43,5,5,0,90,90,0,5,5
loneliness,44,6,9,6,25,19,3,6,9
loneliness,45,4,7,48,40,-8,3,4,7
loneliness,46,3,4,50,0,-50,1,3,4
loneliness,47,8,9,21,30,9,1,8,9
loneliness,48,4,4,40,35,-5,0,4,4
loneliness,49,6,6,15,20,5,0,6,6
loneliness,50,5,5,2,15,13,0,5,5
loneliness,51,3,3,0,0,0,0,3,3
loneliness,52,3,5,20,50,30,2,3,5
loneliness,53,3,6,8,14,6,3,3,6
loneliness,54,3,3,0,0,0,0,3,3
loneliness,55,3,3,20,22,2,0,3,3
loneliness,56,9,9,6,14.000000000000002,8.000000000000002,0,9,9
loneliness,57,8,9,30,45,15,1,8,9
loneliness,58,7,7,15,0,-15,0,7,7
loneliness,59,9,9,0,0,0,0,9,9
loneliness,60,9,9,45,30,-15,0,9,9
loneliness,61,7,6,15,0,-15,-1,7,6
loneliness,62,5,8,0,10,10,3,5,8
loneliness,63,6,5,14.000000000000002,30,15.999999999999998,-1,6,5
loneliness,64,6,6,5,15,10,0,6,6
loneliness,65,3,9,0,0,0,6,3,9
loneliness,66,6,6,8,40,32,0,6,6
loneliness,67,4,6,25,34,9,2,4,6
loneliness,68,6,6,20,23,3,0,6,6
loneliness,69,5,8,15,20,5,3,5,8
loneliness,70,9,9,15,45,30,0,9,9
loneliness,71,4,3,30,75,45,-1,4,3
loneliness,72,6,6,6,20,14,0,6,6
loneliness,73,3,5,8,21,13,2,3,5
loneliness,74,6,9,27.000000000000004,55,27.999999999999996,3,6,9
loneliness,75,3,4,2,8,6,1,3,4
loneliness,76,8,9,15,30,15,1,8,9
loneliness,77,6,6,10,10,0,0,6,6
loneliness,78,6,5,25,60.99999999999999,35.99999999999999,-1,6,5
loneliness,79,9,6,16,55,39,-3,9,6
loneliness,80,5,5,60,60,0,0,5,5
loneliness,81,3,3,7.000000000000001,20,13,0,3,3
loneliness,82,4,3,14.000000000000002,32,18,-1,4,3
loneliness,83,3,4,28.000000000000004,0,-28.000000000000004,1,3,4
loneliness,84,3,3,12,30,18,0,3,3
loneliness,85,4,6,0,0,0,2,4,6
loneliness,86,4,6,0,0,0,2,4,6
loneliness,87,3,6,12,5,-7,3,3,6
loneliness,88,3,7,10,20,10,4,3,7
loneliness,89,3,3,14.000000000000002,6,-8.000000000000002,0,3,3
loneliness,90,6,8,60,89,29,2,6,8
loneliness,91,3,4,60,90,30,1,3,4
loneliness,92,4,7,8,12,4,3,4,7
loneliness,93,6,6,30,40,10,0,6,6
loneliness,94,9,9,0,0,0,0,9,9
loneliness,95,6,9,35,45,10,3,6,9
loneliness,96,3,3,35,77,42,0,3,3
loneliness,97,5,3,0,20,20,-2,5,3
loneliness,98,6,7,0,0,0,1,6,7
loneliness,99,4,4,20,5,-15,0,4,4
loneliness,100,3,3,10,10,0,0,3,3
loneliness,101,3,3,40,40,0,0,3,3
loneliness,102,6,6,43.199999999999996,0,-43.199999999999996,0,6,6
loneliness,103,3,5,15,30,15,2,3,5
loneliness,104,3,3,15,0,-15,0,3,3
loneliness,105,4,3,20,22,2,-1,4,3
loneliness,106,3,3,2,10,8,0,3,3
loneliness,107,4,5,4,16,12,1,4,5
loneliness,108,4,8,0,30,30,4,4,8
loneliness,109,6,6,0,0,0,0,6,6
loneliness,110,3,7,0,10,10,4,3,7
loneliness,111,3,3,10,15,5,0,3,3
loneliness,112,8,9,10,20,10,1,8,9
loneliness,113,7,5,35,50,15,-2,7,5
loneliness,114,8,8,5,16,11,0,8,8
loneliness,115,5,4,36,50,14,-1,5,4
loneliness,116,6,6,0,0,0,0,6,6
loneliness,117,4,9,22,25,3,5,4,9
loneliness,118,4,8,35,40,5,4,4,8
loneliness,119,6,6,15,15,0,0,6,6
loneliness,120,5,4,0,30,30,-1,5,4
loneliness,121,5,7,0,7.000000000000001,7.000000000000001,2,5,7
loneliness,122,6,8,20,15,-5,2,6,8
loneliness,123,7,4,0,0,0,-3,7,4
loneliness,124,3,3,60,70,10,0,3,3
loneliness,125,4,4,8,10,2,0,4,4
loneliness,126,9,9,40,20,-20,0,9,9
loneliness,127,6,5,25,45,20,-1,6,5
loneliness,128,5,5,24,24,0,0,5,5
loneliness,129,7,6,15,21,6,-1,7,6
loneliness,130,9,7,40,50,10,-2,9,7
loneliness,131,6,9,0,10,10,3,6,9
loneliness,132,3,5,0,25,25,2,3,5
loneliness,133,4,6,0,30,30,2,4,6
loneliness,134,7,9,30,0,-30,2,7,9
loneliness,135,4,4,60,60,0,0,4,4
loneliness,136,3,5,13,30,17,2,3,5
loneliness,137,5,6,0,0,0,1,5,6
loneliness,138,4,7,0,8,8,3,4,7
loneliness,139,7,7,10,15,5,0,7,7
loneliness,140,3,3,0,0,0,0,3,3
loneliness,141,7,9,25,45,20,2,7,9
loneliness,142,4,5,10,22,12,1,4,5
loneliness,143,5,7,70,90,20,2,5,7
loneliness,144,3,7,0,0,0,4,3,7
loneliness,145,7,5,0,0,0,-2,7,5
loneliness,146,3,3,13,14.000000000000002,1.0000000000000018,0,3,3
loneliness,147,7,7,60,90,30,0,7,7
loneliness,148,3,3,45,0,-45,0,3,3
loneliness,149,3,4,20,40,20,1,3,4
loneliness,150,7,6,11.999999999999998,0,-11.999999999999998,-1,7,6
loneliness,151,3,9,21,40,19,6,3,9
loneliness,152,6,7,12,28.000000000000004,16.000000000000004,1,6,7
loneliness,153,3,3,15,15,0,0,3,3
loneliness,154,5,8,15,40,25,3,5,8
loneliness,155,6,7,0,0,0,1,6,7
loneliness,156,3,4,16,30,14,1,3,4
loneliness,157,6,6,27,31,4,0,6,6
loneliness,158,5,5,42,28,-14,0,5,5
loneliness,159,6,6,8,30,22,0,6,6
loneliness,160,7,8,30,16,-14,1,7,8
loneliness,161,4,5,0,35,35,1,4,5
loneliness,162,3,3,8,10,2,0,3,3
loneliness,163,7,6,30,43,13,-1,7,6
loneliness,164,9,9,15,0,-15,0,9,9
loneliness,165,3,4,30,38,8,1,3,4
loneliness,166,3,8,49,65,16,5,3,8
loneliness,167,7,4,0,0,0,-3,7,4
loneliness,168,4,4,2,10,8,0,4,4
loneliness,169,3,3,0,0,0,0,3,3
loneliness,170,9,9,0,50,50,0,9,9
loneliness,171,6,6,5.999999999999999,55,49,0,6,6
loneliness,172,7,7,8,45,37,0,7,7
loneliness,173,9,9,25,30,5,0,9,9
loneliness,174,4,4,0,0,0,0,4,4
loneliness,175,3,3,0,0,0,0,3,3
loneliness,176,3,7,20,60,40,4,3,7
loneliness,177,6,6,40,60,20,0,6,6
loneliness,178,6,7,45,45,0,1,6,7
loneliness,179,5,5,15,30,15,0,5,5
loneliness,180,6,8,0,18,18,2,6,8
loneliness,181,3,4,14,20,6,1,3,4
loneliness,182,6,7,15,10,-5,1,6,7
loneliness,183,5,5,0,0,0,0,5,5
loneliness,184,9,9,30,46,16,0,9,9
loneliness,185,6,5,5,12,7,-1,6,5
loneliness,186,6,9,10,40,30,3,6,9
loneliness,187,8,9,10,25,15,1,8,9
loneliness,188,3,6,25,35,10,3,3,6
loneliness,189,5,5,27,25,-2,0,5,5
loneliness,190,4,3,12,24,12,-1,4,3
loneliness,191,4,3,0,0,0,-1,4,3
loneliness,192,7,9,30,40,10,2,7,9
loneliness,193,5,7,0,28.000000000000004,28.000000000000004,2,5,7
loneliness,194,9,9,13,51,38,0,9,9
loneliness,195,3,3,24,50,26,0,3,3
loneliness,196,4,6,15,25,10,2,4,6
loneliness,197,4,4,8,10,2,0,4,4
loneliness,198,5,6,11.999999999999998,35,23,1,5,6
loneliness,199,3,3,33,46,13,0,3,3
loneliness,200,8,8,0,0,0,0,8,8
loneliness,201,3,4,3,13.5,10.5,1,3,4
loneliness,202,3,3,35,45,10,0,3,3
loneliness,203,3,6,20,36,16,3,3,6
loneliness,204,6,6,11,6,-5,0,6,6
loneliness,205,5,5,20,60,40,0,5,5
loneliness,206,6,8,40,55,15,2,6,8
loneliness,207,7,9,7.000000000000001,26,19,2,7,9
loneliness,208,5,3,12,35,23,-2,5,3
loneliness,209,4,6,30,70,40,2,4,6
loneliness,210,6,7,40,80,40,1,6,7
loneliness,211,6,8,20,30,10,2,6,8
loneliness,212,4,6,30,38,8,2,4,6
loneliness,213,6,8,10,31,21,2,6,8
loneliness,214,8,8,30,0,-30,0,8,8
loneliness,215,3,5,0,0,0,2,3,5
loneliness,216,5,5,25,37,12,0,5,5
loneliness,217,6,7,40,65,25,1,6,7
loneliness,218,4,3,25,55,30,-1,4,3
loneliness,219,7,8,13,22,9,1,7,8
loneliness,220,6,6,9,7,-2,0,6,6
