response_id,time,item,score
R_28NVjdZPvV2fLBs,before,1,3
R_28NVjdZPvV2fLBs,before,2,3
R_28NVjdZPvV2fLBs,before,3,3
R_28NVjdZPvV2fLBs,after,1,3
R_28NVjdZPvV2fLBs,after,2,3
R_28NVjdZPvV2fLBs,after,3,3
R_2rPjSQLcIC8CDty,before,1,1
R_2rPjSQLcIC8CDty,before,2,1
R_2rPjSQLcIC8CDty,before,3,1
R_2rPjSQLcIC8CDty,after,1,1
R_2rPjSQLcIC8CDty,after,2,2
R_2rPjSQLcIC8CDty,after,3,2
R_upLgg7PndxOE2Vr,before,1,2
R_upLgg7PndxOE2Vr,before,2,1
R_upLgg7PndxOE2Vr,before,3,2
R_upLgg7PndxOE2Vr,after,1,1
R_upLgg7PndxOE2Vr,after,2,1
R_upLgg7PndxOE2Vr,after,3,1
R_1NmQkOcQT42agWF,before,1,2
R_1NmQkOcQT42agWF,before,2,2
R_1NmQkOcQT42agWF,before,3,2
R_1NmQkOcQT42agWF,after,1,2
R_1NmQkOcQT42agWF,after,2,2
R_1NmQkOcQT42agWF,after,3,2
R_000jgq6zfKH3jcB,before,1,2
R_000jgq6zfKH3jcB,before,2,2
R_000jgq6zfKH3jcB,before,3,1
R_000jgq6zfKH3jcB,after,1,2
R_000jgq6zfKH3jcB,after,2,2
R_000jgq6zfKH3jcB,after,3,3
R_2cd59QR5hZHKBZT,before,1,3
R_2cd59QR5hZHKBZT,before,2,3
R_2cd59QR5hZHKBZT,before,3,3
R_2cd59QR5hZHKBZT,after,1,2
R_2cd59QR5hZHKBZT,after,2,2
R_2cd59QR5hZHKBZT,after,3,2
R_2tqUYhzsg6ITwD1,before,1,2
R_2tqUYhzsg6ITwD1,before,2,2
R_2tqUYhzsg6ITwD1,before,3,3
R_2tqUYhzsg6ITwD1,after,1,2
R_2tqUYhzsg6ITwD1,after,2,1
R_2tqUYhzsg6ITwD1,after,3,2
R_1q9BHkV242D62cG,before,1,2
R_1q9BHkV242D62cG,before,2,3
R_1q9BHkV242D62cG,before,3,3
R_1q9BHkV242D62cG,after,1,3
R_1q9BHkV242D62cG,after,2,3
R_1q9BHkV242D62cG,after,3,3
R_1LCosfUrLhSMxRQ,before,1,1
R_1LCosfUrLhSMxRQ,before,2,1
R_1LCosfUrLhSMxRQ,before,3,1
R_1LCosfUrLhSMxRQ,after,1,1
R_1LCosfUrLhSMxRQ,after,2,1
R_1LCosfUrLhSMxRQ,after,3,2
R_3PjYxPdMelfAuAx,before,1,3
R_3PjYxPdMelfAuAx,before,2,3
R_3PjYxPdMelfAuAx,before,3,3
R_3PjYxPdMelfAuAx,after,1,3
R_3PjYxPdMelfAuAx,after,2,3
R_3PjYxPdMelfAuAx,after,3,3
R_2tJtUaHMu03QTQ1,before,1,2
R_2tJtUaHMu03QTQ1,before,2,3
R_2tJtUaHMu03QTQ1,before,3,3
R_2tJtUaHMu03QTQ1,after,1,3
R_2tJtUaHMu03QTQ1,after,2,3
R_2tJtUaHMu03QTQ1,after,3,3
R_20NVUurOXIj6JN6,before,1,3
R_20NVUurOXIj6JN6,before,2,3
R_20NVUurOXIj6JN6,before,3,3
R_20NVUurOXIj6JN6,after,1,3
R_20NVUurOXIj6JN6,after,2,3
R_20NVUurOXIj6JN6,after,3,3
R_1FKyUMNfVFCfhAP,before,1,2
R_1FKyUMNfVFCfhAP,before,2,2
R_1FKyUMNfVFCfhAP,before,3,1
R_1FKyUMNfVFCfhAP,after,1,2
R_1FKyUMNfVFCfhAP,after,2,1
R_1FKyUMNfVFCfhAP,after,3,1
R_OPvs1zUpPEvZoEp,before,1,1
R_OPvs1zUpPEvZoEp,before,2,1
R_OPvs1zUpPEvZoEp,before,3,1
R_OPvs1zUpPEvZoEp,after,1,1
R_OPvs1zUpPEvZoEp,after,2,1
R_OPvs1zUpPEvZoEp,after,3,1
R_54O3tQvET3fkQAV,before,1,3
R_54O3tQvET3fkQAV,before,2,2
R_54O3tQvET3fkQAV,before,3,1
R_54O3tQvET3fkQAV,after,1,3
R_54O3tQvET3fkQAV,after,2,2
R_54O3tQvET3fkQAV,after,3,2
R_2e2R7LJzpLYQiWW,before,1,1
R_2e2R7LJzpLYQiWW,before,2,1
R_2e2R7LJzpLYQiWW,before,3,1
R_2e2R7LJzpLYQiWW,after,1,3
R_2e2R7LJzpLYQiWW,after,2,1
R_2e2R7LJzpLYQiWW,after,3,3
R_2Sq2mphrvRDkWOh,before,1,1
R_2Sq2mphrvRDkWOh,before,2,1
R_2Sq2mphrvRDkWOh,before,3,2
R_2Sq2mphrvRDkWOh,after,1,1
R_2Sq2mphrvRDkWOh,after,2,2
R_2Sq2mphrvRDkWOh,after,3,2
R_9Z70MwcyCsPC9X3,before,1,2
R_9Z70MwcyCsPC9X3,before,2,2
R_9Z70MwcyCsPC9X3,before,3,2
R_9Z70MwcyCsPC9X3,after,1,2
R_9Z70MwcyCsPC9X3,after,2,2
R_9Z70MwcyCsPC9X3,after,3,3
R_2zBXAI5qUYmV4DB,before,1,2
R_2zBXAI5qUYmV4DB,before,2,2
R_2zBXAI5qUYmV4DB,before,3,2
R_2zBXAI5qUYmV4DB,after,1,1
R_2zBXAI5qUYmV4DB,after,2,1
R_2zBXAI5qUYmV4DB,after,3,3
R_SBupPeUb0kJ7NJL,before,1,1
R_SBupPeUb0kJ7NJL,before,2,1
R_SBupPeUb0kJ7NJL,before,3,1
R_SBupPeUb0kJ7NJL,after,1,1
R_SBupPeUb0kJ7NJL,after,2,2
R_SBupPeUb0kJ7NJL,after,3,3
R_z7JR0f6BK2Ps1i1,before,1,1
R_z7JR0f6BK2Ps1i1,before,2,2
R_z7JR0f6BK2Ps1i1,before,3,2
R_z7JR0f6BK2Ps1i1,after,1,1
R_z7JR0f6BK2Ps1i1,after,2,1
R_z7JR0f6BK2Ps1i1,after,3,3
R_UoPiHE2v8sEVOJb,before,1,2
R_UoPiHE2v8sEVOJb,before,2,2
R_UoPiHE2v8sEVOJb,before,3,3
R_UoPiHE2v8sEVOJb,after,1,3
R_UoPiHE2v8sEVOJb,after,2,3
R_UoPiHE2v8sEVOJb,after,3,3
R_1ls2eVKvEiK6S4N,before,1,1
R_1ls2eVKvEiK6S4N,before,2,1
R_1ls2eVKvEiK6S4N,before,3,2
R_1ls2eVKvEiK6S4N,after,1,1
R_1ls2eVKvEiK6S4N,after,2,2
R_1ls2eVKvEiK6S4N,after,3,2
R_3efCQahFkiEWLUo,before,1,1
R_3efCQahFkiEWLUo,before,2,2
R_3efCQahFkiEWLUo,before,3,1
R_3efCQahFkiEWLUo,after,1,1
R_3efCQahFkiEWLUo,after,2,1
R_3efCQahFkiEWLUo,after,3,3
R_1CkeSqHcTu6ioRR,before,1,1
R_1CkeSqHcTu6ioRR,before,2,1
R_1CkeSqHcTu6ioRR,before,3,1
R_1CkeSqHcTu6ioRR,after,1,1
R_1CkeSqHcTu6ioRR,after,2,1
R_1CkeSqHcTu6ioRR,after,3,2
R_12LI8ats6sqsq4j,before,1,2
R_12LI8ats6sqsq4j,before,2,1
R_12LI8ats6sqsq4j,before,3,2
R_12LI8ats6sqsq4j,after,1,2
R_12LI8ats6sqsq4j,after,2,2
R_12LI8ats6sqsq4j,after,3,1
R_21vy4qSSLUBhkI5,before,1,2
R_21vy4qSSLUBhkI5,before,2,2
R_21vy4qSSLUBhkI5,before,3,2
R_21vy4qSSLUBhkI5,after,1,2
R_21vy4qSSLUBhkI5,after,2,1
R_21vy4qSSLUBhkI5,after,3,2
R_2DZSUz54Rl39uyo,before,1,1
R_2DZSUz54Rl39uyo,before,2,1
R_2DZSUz54Rl39uyo,before,3,1
R_2DZSUz54Rl39uyo,after,1,1
R_2DZSUz54Rl39uyo,after,2,2
R_2DZSUz54Rl39uyo,after,3,3
R_3gYE1Oyb2ecCXAO,before,1,1
R_3gYE1Oyb2ecCXAO,before,2,1
R_3gYE1Oyb2ecCXAO,before,3,1
R_3gYE1Oyb2ecCXAO,after,1,1
R_3gYE1Oyb2ecCXAO,after,2,1
R_3gYE1Oyb2ecCXAO,after,3,2
R_R80uXkBmWsWOzfP,before,1,1
R_R80uXkBmWsWOzfP,before,2,1
R_R80uXkBmWsWOzfP,before,3,1
R_R80uXkBmWsWOzfP,after,1,1
R_R80uXkBmWsWOzfP,after,2,1
R_R80uXkBmWsWOzfP,after,3,1
R_0pRhQEssmj1aIbT,before,1,2
R_0pRhQEssmj1aIbT,before,2,1
R_0pRhQEssmj1aIbT,before,3,1
R_0pRhQEssmj1aIbT,after,1,2
R_0pRhQEssmj1aIbT,after,2,1
R_0pRhQEssmj1aIbT,after,3,2
R_1mEDv9S4U18sxZe,before,1,2
R_1mEDv9S4U18sxZe,before,2,3
R_1mEDv9S4U18sxZe,before,3,3
R_1mEDv9S4U18sxZe,after,1,2
R_1mEDv9S4U18sxZe,after,2,3
R_1mEDv9S4U18sxZe,after,3,3
R_06y6RQMIag7OLT3,before,1,2
R_06y6RQMIag7OLT3,before,2,2
R_06y6RQMIag7OLT3,before,3,2
R_06y6RQMIag7OLT3,after,1,1
R_06y6RQMIag7OLT3,after,2,1
R_06y6RQMIag7OLT3,after,3,1
R_23Ulx9Mu6ClxGOJ,before,1,2
R_23Ulx9Mu6ClxGOJ,before,2,2
R_23Ulx9Mu6ClxGOJ,before,3,2
R_23Ulx9Mu6ClxGOJ,after,1,2
R_23Ulx9Mu6ClxGOJ,after,2,2
R_23Ulx9Mu6ClxGOJ,after,3,2
R_Zgzav0hvyZ96c6d,before,1,2
R_Zgzav0hvyZ96c6d,before,2,2
R_Zgzav0hvyZ96c6d,before,3,2
R_Zgzav0hvyZ96c6d,after,1,2
R_Zgzav0hvyZ96c6d,after,2,2
R_Zgzav0hvyZ96c6d,after,3,3
R_1K1Fc63G8b1FSAP,before,1,1
R_1K1Fc63G8b1FSAP,before,2,1
R_1K1Fc63G8b1FSAP,before,3,1
R_1K1Fc63G8b1FSAP,after,1,1
R_1K1Fc63G8b1FSAP,after,2,1
R_1K1Fc63G8b1FSAP,after,3,2
R_1ImlmXBKKlXZVm0,before,1,1
R_1ImlmXBKKlXZVm0,before,2,2
R_1ImlmXBKKlXZVm0,before,3,2
R_1ImlmXBKKlXZVm0,after,1,2
R_1ImlmXBKKlXZVm0,after,2,2
R_1ImlmXBKKlXZVm0,after,3,2
R_2fIesR987yHKjDw,before,1,1
R_2fIesR987yHKjDw,before,2,2
R_2fIesR987yHKjDw,before,3,1
R_2fIesR987yHKjDw,after,1,2
R_2fIesR987yHKjDw,after,2,2
R_2fIesR987yHKjDw,after,3,3
R_3G0VtsBQfB5T8jI,before,1,1
R_3G0VtsBQfB5T8jI,before,2,1
R_3G0VtsBQfB5T8jI,before,3,1
R_3G0VtsBQfB5T8jI,after,1,1
R_3G0VtsBQfB5T8jI,after,2,1
R_3G0VtsBQfB5T8jI,after,3,1
R_1NfE7qpbaFYk306,before,1,1
R_1NfE7qpbaFYk306,before,2,2
R_1NfE7qpbaFYk306,before,3,1
R_1NfE7qpbaFYk306,after,1,1
R_1NfE7qpbaFYk306,after,2,1
R_1NfE7qpbaFYk306,after,3,2
R_1pYYllRKHfnN46F,before,1,3
R_1pYYllRKHfnN46F,before,2,3
R_1pYYllRKHfnN46F,before,3,3
R_1pYYllRKHfnN46F,after,1,3
R_1pYYllRKHfnN46F,after,2,3
R_1pYYllRKHfnN46F,after,3,3
R_WerDtRBiVK6hlnP,before,1,2
R_WerDtRBiVK6hlnP,before,2,2
R_WerDtRBiVK6hlnP,before,3,2
R_WerDtRBiVK6hlnP,after,1,3
R_WerDtRBiVK6hlnP,after,2,3
R_WerDtRBiVK6hlnP,after,3,2
R_2cdROg831T1vhEC,before,1,1
R_2cdROg831T1vhEC,before,2,2
R_2cdROg831T1vhEC,before,3,2
R_2cdROg831T1vhEC,after,1,1
R_2cdROg831T1vhEC,after,2,2
R_2cdROg831T1vhEC,after,3,2
R_p5CA0SZn571DSEN,before,1,2
R_p5CA0SZn571DSEN,before,2,1
R_p5CA0SZn571DSEN,before,3,1
R_p5CA0SZn571DSEN,after,1,2
R_p5CA0SZn571DSEN,after,2,2
R_p5CA0SZn571DSEN,after,3,2
R_2CvKeTojbEMdWFy,before,1,1
R_2CvKeTojbEMdWFy,before,2,1
R_2CvKeTojbEMdWFy,before,3,1
R_2CvKeTojbEMdWFy,after,1,1
R_2CvKeTojbEMdWFy,after,2,1
R_2CvKeTojbEMdWFy,after,3,1
R_3hywX9R1oSIynmb,before,1,2
R_3hywX9R1oSIynmb,before,2,2
R_3hywX9R1oSIynmb,before,3,1
R_3hywX9R1oSIynmb,after,1,3
R_3hywX9R1oSIynmb,after,2,2
R_3hywX9R1oSIynmb,after,3,3
R_27ExcEAbe7WWZAY,before,1,1
R_27ExcEAbe7WWZAY,before,2,2
R_27ExcEAbe7WWZAY,before,3,2
R_27ExcEAbe7WWZAY,after,1,3
R_27ExcEAbe7WWZAY,after,2,2
R_27ExcEAbe7WWZAY,after,3,3
R_1H78Zq7MMV4bmUw,before,1,1
R_1H78Zq7MMV4bmUw,before,2,1
R_1H78Zq7MMV4bmUw,before,3,1
R_1H78Zq7MMV4bmUw,after,1,1
R_1H78Zq7MMV4bmUw,after,2,1
R_1H78Zq7MMV4bmUw,after,3,1
R_3HpP9AcM8KfmlN5,before,1,2
R_3HpP9AcM8KfmlN5,before,2,2
R_3HpP9AcM8KfmlN5,before,3,2
R_3HpP9AcM8KfmlN5,after,1,3
R_3HpP9AcM8KfmlN5,after,2,2
R_3HpP9AcM8KfmlN5,after,3,2
R_1MXmVmetdFpHiB4,before,1,2
R_1MXmVmetdFpHiB4,before,2,2
R_1MXmVmetdFpHiB4,before,3,2
R_1MXmVmetdFpHiB4,after,1,3
R_1MXmVmetdFpHiB4,after,2,3
R_1MXmVmetdFpHiB4,after,3,3
R_3PAINhZstYwZKnG,before,1,2
R_3PAINhZstYwZKnG,before,2,2
R_3PAINhZstYwZKnG,before,3,2
R_3PAINhZstYwZKnG,after,1,2
R_3PAINhZstYwZKnG,after,2,2
R_3PAINhZstYwZKnG,after,3,2
R_RzB3YPB2gpL3ylr,before,1,1
R_RzB3YPB2gpL3ylr,before,2,1
R_RzB3YPB2gpL3ylr,before,3,1
R_RzB3YPB2gpL3ylr,after,1,1
R_RzB3YPB2gpL3ylr,after,2,1
R_RzB3YPB2gpL3ylr,after,3,1
R_BueCPimsWc9Utd7,before,1,1
R_BueCPimsWc9Utd7,before,2,1
R_BueCPimsWc9Utd7,before,3,2
R_BueCPimsWc9Utd7,after,1,1
R_BueCPimsWc9Utd7,after,2,1
R_BueCPimsWc9Utd7,after,3,1
R_2Clwma6pSIEIvrW,before,1,1
R_2Clwma6pSIEIvrW,before,2,1
R_2Clwma6pSIEIvrW,before,3,1
R_2Clwma6pSIEIvrW,after,1,1
R_2Clwma6pSIEIvrW,after,2,1
R_2Clwma6pSIEIvrW,after,3,1
R_2CB7Tu6CfOt3tUN,before,1,1
R_2CB7Tu6CfOt3tUN,before,2,2
R_2CB7Tu6CfOt3tUN,before,3,3
R_2CB7Tu6CfOt3tUN,after,1,1
R_2CB7Tu6CfOt3tUN,after,2,2
R_2CB7Tu6CfOt3tUN,after,3,2
R_2ARphcLKbG8pCbs,before,1,1
R_2ARphcLKbG8pCbs,before,2,1
R_2ARphcLKbG8pCbs,before,3,1
R_2ARphcLKbG8pCbs,after,1,1
R_2ARphcLKbG8pCbs,after,2,1
R_2ARphcLKbG8pCbs,after,3,2
R_3DcJPhdo2DHBes3,before,1,2
R_3DcJPhdo2DHBes3,before,2,3
R_3DcJPhdo2DHBes3,before,3,2
R_3DcJPhdo2DHBes3,after,1,2
R_3DcJPhdo2DHBes3,after,2,3
R_3DcJPhdo2DHBes3,after,3,2
R_1GKJM6pEM2FrpLP,before,1,1
R_1GKJM6pEM2FrpLP,before,2,1
R_1GKJM6pEM2FrpLP,before,3,1
R_1GKJM6pEM2FrpLP,after,1,1
R_1GKJM6pEM2FrpLP,after,2,1
R_1GKJM6pEM2FrpLP,after,3,1
R_2bVGOK2omxjKHpn,before,1,2
R_2bVGOK2omxjKHpn,before,2,2
R_2bVGOK2omxjKHpn,before,3,2
R_2bVGOK2omxjKHpn,after,1,2
R_2bVGOK2omxjKHpn,after,2,2
R_2bVGOK2omxjKHpn,after,3,2
R_3ne0xvsnUk3Dg2b,before,1,1
R_3ne0xvsnUk3Dg2b,before,2,1
R_3ne0xvsnUk3Dg2b,before,3,1
R_3ne0xvsnUk3Dg2b,after,1,3
R_3ne0xvsnUk3Dg2b,after,2,2
R_3ne0xvsnUk3Dg2b,after,3,3
R_33m18XGfnq4Vj9o,before,1,1
R_33m18XGfnq4Vj9o,before,2,1
R_33m18XGfnq4Vj9o,before,3,2
R_33m18XGfnq4Vj9o,after,1,1
R_33m18XGfnq4Vj9o,after,2,1
R_33m18XGfnq4Vj9o,after,3,2
R_2YyT0OjStuntyXf,before,1,3
R_2YyT0OjStuntyXf,before,2,3
R_2YyT0OjStuntyXf,before,3,3
R_2YyT0OjStuntyXf,after,1,3
R_2YyT0OjStuntyXf,after,2,3
R_2YyT0OjStuntyXf,after,3,3
R_2QzW5HTDKSQoIdW,before,1,1
R_2QzW5HTDKSQoIdW,before,2,1
R_2QzW5HTDKSQoIdW,before,3,1
R_2QzW5HTDKSQoIdW,after,1,1
R_2QzW5HTDKSQoIdW,after,2,1
R_2QzW5HTDKSQoIdW,after,3,1
R_1PYHLXLRtVtLKCC,before,1,1
R_1PYHLXLRtVtLKCC,before,2,1
R_1PYHLXLRtVtLKCC,before,3,1
R_1PYHLXLRtVtLKCC,after,1,1
R_1PYHLXLRtVtLKCC,after,2,1
R_1PYHLXLRtVtLKCC,after,3,1
R_2fvruv9ZivyF7o5,before,1,2
R_2fvruv9ZivyF7o5,before,2,2
R_2fvruv9ZivyF7o5,before,3,2
R_2fvruv9ZivyF7o5,after,1,2
R_2fvruv9ZivyF7o5,after,2,2
R_2fvruv9ZivyF7o5,after,3,2
R_1Fl9AQQ2mrxHqGW,before,1,1
R_1Fl9AQQ2mrxHqGW,before,2,2
R_1Fl9AQQ2mrxHqGW,before,3,1
R_1Fl9AQQ2mrxHqGW,after,1,2
R_1Fl9AQQ2mrxHqGW,after,2,2
R_1Fl9AQQ2mrxHqGW,after,3,3
R_2wmnaQBPNB7V2gM,before,1,2
R_2wmnaQBPNB7V2gM,before,2,2
R_2wmnaQBPNB7V2gM,before,3,2
R_2wmnaQBPNB7V2gM,after,1,2
R_2wmnaQBPNB7V2gM,after,2,2
R_2wmnaQBPNB7V2gM,after,3,2
R_piX57LSmaReTby1,before,1,1
R_piX57LSmaReTby1,before,2,1
R_piX57LSmaReTby1,before,3,2
R_piX57LSmaReTby1,after,1,1
R_piX57LSmaReTby1,after,2,2
R_piX57LSmaReTby1,after,3,1
R_Oju76sshryv7YAh,before,1,1
R_Oju76sshryv7YAh,before,2,2
R_Oju76sshryv7YAh,before,3,2
R_Oju76sshryv7YAh,after,1,1
R_Oju76sshryv7YAh,after,2,3
R_Oju76sshryv7YAh,after,3,3
R_Xjm191b0NxVNvbz,before,1,2
R_Xjm191b0NxVNvbz,before,2,2
R_Xjm191b0NxVNvbz,before,3,2
R_Xjm191b0NxVNvbz,after,1,3
R_Xjm191b0NxVNvbz,after,2,2
R_Xjm191b0NxVNvbz,after,3,3
R_30uRCB7vSqjK8Tf,before,1,2
R_30uRCB7vSqjK8Tf,before,2,2
R_30uRCB7vSqjK8Tf,before,3,3
R_30uRCB7vSqjK8Tf,after,1,1
R_30uRCB7vSqjK8Tf,after,2,2
R_30uRCB7vSqjK8Tf,after,3,3
R_2VkJBjNuuyAttyZ,before,1,1
R_2VkJBjNuuyAttyZ,before,2,1
R_2VkJBjNuuyAttyZ,before,3,2
R_2VkJBjNuuyAttyZ,after,1,3
R_2VkJBjNuuyAttyZ,after,2,3
R_2VkJBjNuuyAttyZ,after,3,3
R_RLcbhnqjnjLiaVX,before,1,1
R_RLcbhnqjnjLiaVX,before,2,1
R_RLcbhnqjnjLiaVX,before,3,1
R_RLcbhnqjnjLiaVX,after,1,2
R_RLcbhnqjnjLiaVX,after,2,1
R_RLcbhnqjnjLiaVX,after,3,1
R_2B4II5QqOBTuBsc,before,1,3
R_2B4II5QqOBTuBsc,before,2,3
R_2B4II5QqOBTuBsc,before,3,2
R_2B4II5QqOBTuBsc,after,1,3
R_2B4II5QqOBTuBsc,after,2,3
R_2B4II5QqOBTuBsc,after,3,3
R_1M5w3AllKLTG9vr,before,1,1
R_1M5w3AllKLTG9vr,before,2,1
R_1M5w3AllKLTG9vr,before,3,1
R_1M5w3AllKLTG9vr,after,1,1
R_1M5w3AllKLTG9vr,after,2,1
R_1M5w3AllKLTG9vr,after,3,3
R_0vTXEcLGjOc6uRj,before,1,1
R_0vTXEcLGjOc6uRj,before,2,1
R_0vTXEcLGjOc6uRj,before,3,1
R_0vTXEcLGjOc6uRj,after,1,1
R_0vTXEcLGjOc6uRj,after,2,1
R_0vTXEcLGjOc6uRj,after,3,1
R_3VJUdRxHSSY9KRH,before,1,1
R_3VJUdRxHSSY9KRH,before,2,3
R_3VJUdRxHSSY9KRH,before,3,2
R_3VJUdRxHSSY9KRH,after,1,1
R_3VJUdRxHSSY9KRH,after,2,3
R_3VJUdRxHSSY9KRH,after,3,2
R_b3OqdK3QYKKuHYd,before,1,2
R_b3OqdK3QYKKuHYd,before,2,2
