id,score_during,score_before,total_hours_played_during,total_hours_played_before,hours_diff,score_diff,score_before_ord,score_during_ord
1,4,6,31,35,-4,-2,6,4
2,5,5,20,0,20,0,5,5
3,11,10,23,18,5,1,10,11
4,7,9,25,50,-25,-2,9,7
5,10,9,36,21,15,1,9,10
6,6,6,8,9,-1,0,6,6
7,7,6,87,0,87,1,6,7
8,3,4,14,9,5,-1,4,3
9,4,4,75,61,14,0,4,4
10,7,9,52,87,-35,-2,9,7
11,8,6,42,40,2,2,6,8
12,6,6,0,0,0,0,6,6
13,9,9,15,12,3,0,9,9
14,8,7,30,32,-2,1,7,8
15,5,6,40,26,14,-1,6,5
16,11,11,0,15,-15,0,11,11
17,10,8,79,52,27,2,8,10
18,9,10,61,57,4,-1,10,9
19,8,10,34,42,-8,-2,10,8
20,0,0,52,39,13,0,0,0
21,8,10,47,36,11,-2,10,8
22,10,7,68,0,68,3,7,10
23,1,2,0,0,0,-1,2,1
24,9,7,45,44,1,2,7,9
25,4,4,4,5,-1,0,4,4
26,2,2,31,34,-3,0,2,2
27,9,6,31,35,-4,3,6,9
28,10,11,41,19,22,-1,11,10
29,7,9,70,62,8,-2,9,7
30,6,5,7,5,2,1,5,6
31,11,10,0,0,0,1,10,11
32,11,11,44,40,4,0,11,11
33,5,6,58,48,10,-1,6,5
34,11,9,19,0,19,2,9,11
35,9,7,68,70,-2,2,7,9
36,3,2,43,41,2,1,2,3
37,10,10,18,29,-11,0,10,10
38,11,9,15,20,-5,2,9,11
39,3,3,71,71,0,0,3,3
40,4,3,0,0,0,1,3,4
41,10,10,16,22,-6,0,10,10
42,4,6,0,0,0,-2,6,4
43,11,10,0,0,0,1,10,11
44,10,8,7,0,7,2,8,10
45,6,3,28,34,-6,3,3,6
46,5,4,36,23,13,1,4,5
47,6,6,74,52,22,0,6,6
48,7,5,21,4,17,2,5,7
49,6,6,35,35,0,0,6,6
50,10,11,23,19,4,-1,11,10
51,3,5,8,8,0,-2,5,3
52,5,6,17,21,-4,-1,6,5
53,10,9,30,30,0,1,9,10
54,6,8,35,22,13,-2,8,6
55,8,5,64,64,0,3,5,8
